# rank<TAB>command<TAB>debian-package<TAB>rpm-package<TAB>apk-package<TAB>arch-package<TAB>recipe<TAB>description
1	bash	bash	bash	bash	bash	shell	Bourne Again shell
2	ls	coreutils	coreutils	coreutils	coreutils	files	list directory entries
3	cp	coreutils	coreutils	coreutils	coreutils	files	copy files
4	mv	coreutils	coreutils	coreutils	coreutils	files	move files
5	rm	coreutils	coreutils	coreutils	coreutils	files	remove files
6	mkdir	coreutils	coreutils	coreutils	coreutils	files	create directories
7	cat	coreutils	coreutils	coreutils	coreutils	text	concatenate files
8	grep	grep	grep	grep	grep	text	search text
9	sed	sed	sed	sed	sed	text	stream editing
10	awk	gawk	gawk	gawk	gawk	text	pattern processing
11	find	findutils	findutils	findutils	findutils	files	find files
12	xargs	findutils	findutils	findutils	findutils	text	build command lines
13	pwd	coreutils	coreutils	coreutils	coreutils	files	print working directory
14	touch	coreutils	coreutils	coreutils	coreutils	files	update file timestamps
15	chmod	coreutils	coreutils	coreutils	coreutils	files	change file modes
16	ln	coreutils	coreutils	coreutils	coreutils	files	create links
17	head	coreutils	coreutils	coreutils	coreutils	text	read file beginning
18	tail	coreutils	coreutils	coreutils	coreutils	text	read file ending
19	sort	coreutils	coreutils	coreutils	coreutils	text	sort lines
20	uniq	coreutils	coreutils	coreutils	coreutils	text	deduplicate adjacent lines
21	cut	coreutils	coreutils	coreutils	coreutils	text	select text fields
22	tr	coreutils	coreutils	coreutils	coreutils	text	translate characters
23	wc	coreutils	coreutils	coreutils	coreutils	text	count text
24	tee	coreutils	coreutils	coreutils	coreutils	text	copy standard input
25	date	coreutils	coreutils	coreutils	coreutils	inspect	format time
26	env	coreutils	coreutils	coreutils	coreutils	inspect	run with an environment
27	stat	coreutils	coreutils	coreutils	coreutils	files	inspect file metadata
28	file	file	file	file	file	inspect	identify file types
29	which	debianutils	which	which	which	inspect	locate commands
30	whereis	util-linux	util-linux	util-linux	util-linux	inspect	locate command resources
31	tar	tar	tar	tar	tar	archive	create and inspect archives
32	gzip	gzip	gzip	gzip	gzip	compress	gzip compression
33	bzip2	bzip2	bzip2	bzip2	bzip2	compress	bzip2 compression
34	xz	xz-utils	xz	xz	xz	compress	xz compression
35	zip	zip	zip	zip	zip	archive	create zip archives
36	unzip	unzip	unzip	unzip	unzip	archive	extract zip archives
37	diff	diffutils	diffutils	diffutils	diffutils	text	compare files
38	patch	patch	patch	patch	patch	text	apply text patches
39	less	less	less	less	less	text	page text noninteractively
40	vi	vim-tiny	vim-minimal	vim	vim	editor	edit a temporary file
41	nano	nano	nano	nano	nano	editor	edit a temporary file
42	ps	procps	procps-ng	procps	procps-ng	process	list processes
43	top	procps	procps-ng	procps	procps-ng	process	process snapshot
44	free	procps	procps-ng	procps	procps-ng	inspect	memory summary
45	uptime	procps	procps-ng	procps	procps-ng	inspect	uptime summary
